timestamp,title,company_name,headquarters,post_date,categories,offer_url
2026-04-18 16:34:36,Devops - Pleno e Sênior (Banco de Talentos),Matera,BR,2026-04-02,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/matera-devops-pleno-e-senior-banco-de-talentos
2026-04-18 16:34:36,Executivo de Contas II - Tech Touch,FIAP/Alura/PM3,BR,2026-04-03,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/fiap-alura-pm3-executivo-de-contas-ii-tech-touch
2026-04-18 16:34:36,ed3b ANALISTA DEVOPS III,Extreme Digital Solutions,BR,2026-04-03,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/extreme-digital-solutions-ed3b-analista-devops-iii
2026-04-18 16:34:36,"Information Security Engineer, Product",Aptos,"Remote Global (US, EU)",2026-03-21,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/aptos-information-security-engineer-product
2026-04-18 16:34:36,1025 | Senior DevOps Engineer,Intetics,Latvia,2026-03-20,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/intetics-1025-senior-devops-engineer
2026-04-18 16:34:36,"Product Security Manager, Secure Design",Digitalocean,Seattle,2026-03-20,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/digitalocean-product-security-manager-secure-design
2026-04-18 16:34:36,Senior Staff DevOps Engineer - MetaMask,Consensys,"UNITED STATES - Remote, EMEA - Remote, CANADA - Remote, LATAM - Remote",2026-03-20,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/consensys-senior-staff-devops-engineer-metamask
2026-04-18 16:34:36,Sr. DevOps AWS Cloud Engineer,H1,New York,2026-03-20,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/h1-sr-devops-aws-cloud-engineer
2026-04-18 16:34:36,"Formateur IT Indépendant Cybersécurité,IA, DevOps, Réseaux ...",Alphorm,"6 Rue dArmaillé Paris, Île-de-France, 75017 France",2026-03-19,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/alphorm-formateur-it-independant-cybersecurite-ia-devops-reseaux
2026-04-18 16:34:36,(f2pool) DevOps Engineer,Stakefish,Remote,2026-03-19,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/stakefish-f2pool-devops-engineer
